expression,reading,meaning,tags
ああ,ああ,"Ah!, Oh!",JLPT N5
会う,あう,"to meet, to see",JLPT N5
青,あお,blue,JLPT N5
青い,あおい,blue,JLPT N5
赤,あか,red,JLPT N5
赤い,あかい,red,JLPT N5
明るい,あかるい,bright (in reference to personality or weather); cheerful,JLPT N5
秋,あき,fall (season),JLPT N5
開く,あく,"to open, to become open",JLPT N5
開ける,あける,to open (v.t.),JLPT N5
上げる,あげる,"to raise, to lift",JLPT N5
朝,あさ,morning,JLPT N5
朝御飯,あさごはん,breakfast,JLPT N5
明後日,あさって,day after tomorrow,JLPT N5
足; 脚,あし,foot; leg,JLPT N5
明日,あした,tomorrow,JLPT N5
あそこ,あそこ,"there, over there, that place",JLPT N5
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,JLPT N5
暖かい,あたたかい,warm,JLPT N5
頭,あたま,head,JLPT N5
新しい,あたらしい,new,JLPT N5
あちら,あちら,this way (polite),JLPT N5
暑い,あつい,"hot (in reference to weather), warm",JLPT N5
熱い,あつい,hot (objects),JLPT N5
厚い,あつい,"kind, warm(hearted), thick, deep",JLPT N5
あっち,あっち,over there,JLPT N5
後,あと,afterwards (later); in the future; the rest; since then,JLPT N5
あなた,あなた,you,JLPT N5
兄,あに,(my) older brother (humble),JLPT N5
姉,あね,(my) older sister (humble),JLPT N5
アパート,アパート,apartment (abbr.),JLPT N5
あの,あの,"that over there; like that, that way; um...",JLPT N5
浴びる,あびる,"to bathe, to shower",JLPT N5
危ない,あぶない,"dangerous, critical",JLPT N5
甘い,あまい,"generous, sweet",JLPT N5
余り,あまり,not very; surplus,JLPT N5
雨,あめ,rain,JLPT N5
飴,あめ,(hard) candy,JLPT N5
洗う,あらう,to wash,JLPT N5
在る,ある,"to be, to have",JLPT N5
有る,ある,"to be, to have",JLPT N5
歩く,あるく,to walk,JLPT N5
あれ,あれ,that one (over there),JLPT N5
いい; よい,いい; よい,good,JLPT N5
いいえ,いいえ,"no, not at all",JLPT N5
言う,いう,to say,JLPT N5
家,いえ,"house, home",JLPT N5
いかが,いかが,"how, in what way",JLPT N5
行く,いく; ゆく,to go,JLPT N5
いくつ,いくつ,"how many, how old",JLPT N5
いくら,いくら,"how much, how many",JLPT N5
池,いけ,pond,JLPT N5
医者,いしゃ,doctor; physician,JLPT N5
椅子,いす,chair,JLPT N5
忙しい,いそがしい,"busy (people, days)",JLPT N5
痛い,いたい,hurt; painful; sore,JLPT N5
一,いち,one,JLPT N5
一日,いちにち,one day (duration),JLPT N5
一番,いちばん,"best (most), first, number one",JLPT N5
いつ,いつ,when,JLPT N5
五日,いつか,five days; fifth day of the month,JLPT N5
一緒,いっしょ,together,JLPT N5
五つ,いつつ,five things,JLPT N5
いつも,いつも,"always, usually, every time, never (with neg. verb)",JLPT N5
犬,いぬ,dog,JLPT N5
今,いま,now,JLPT N5
意味,いみ,"meaning, significance",JLPT N5
妹,いもうと,younger sister (humble),JLPT N5
嫌,いや,"disagreeable, detestable, unpleasant",JLPT N5
入口,いりぐち,entrance,JLPT N5
居る,いる,"(humble) to be (animate), to exist",JLPT N5
要る,いる,to need,JLPT N5
入れる,いれる,to put in,JLPT N5
色,いろ,color,JLPT N5
色々,いろいろ,various,JLPT N5
上,うえ,"above (up, top, etc.), over, on top of",JLPT N5
後ろ,うしろ,"back, behind, rear",JLPT N5
薄い,うすい,"thin, weak",JLPT N5
歌,うた,a song,JLPT N5
歌う,うたう,to sing,JLPT N5
うち,うち,home; house; my place,JLPT N5
生まれる,うまれる,to be born,JLPT N5
海,うみ,"sea, beach",JLPT N5
売る,うる,to sell (v.t.),JLPT N5
うるさい,うるさい,noisy; annoying,JLPT N5
上着,うわぎ,"coat, jacket",JLPT N5
絵,え,a painting; a picture; a drawing,JLPT N5
映画,えいが,"movie, film",JLPT N5
映画館,えいがかん,"movie theater, cinema",JLPT N5
英語,えいご,English (language),JLPT N5
ええ,ええ,yes,JLPT N5
駅,えき,station,JLPT N5
エレベーター,エレベーター,elevator,JLPT N5
～円,～えん,Yen,JLPT N5
鉛筆,えんぴつ,pencil,JLPT N5
お～,お～,honorable ~ (honorific),JLPT N5
美味しい,おいしい,"delicious, tasty",JLPT N5
多い,おおい,many; there are a lot,JLPT N5
大きい,おおきい,"big, large",JLPT N5
大きな,おおきな,big,JLPT N5
大勢,おおぜい,great number of people,JLPT N5
お母さん,おかあさん,mother (formal),JLPT N5
お菓子,おかし,"confections, sweets, snack",JLPT N5
お金,おかね,money,JLPT N5
起きる,おきる,"to get up (e.g., from sleeping); to happen",JLPT N5
置く,おく,to put; to lay; to place,JLPT N5
奥さん,おくさん,(someone else's) wife (hon.),JLPT N5
お酒,おさけ,sake; alcohol,JLPT N5
お皿,おさら,"plate, dish",JLPT N5
伯父; 叔父さん,おじさん,"uncle, middle-aged man",JLPT N5
おじいさん,おじいさん,"grandfather, male senior citizen",JLPT N5
