jp_id,jp_sentence,en_id,en_sentence,n5,n4,n3,n2,n1
182865,議論の多くの個所で、アドルノ、ホルクハイマーらの美学論に恩恵を受けている。,19986,"My argument is indebted in a number of places to the aesthetic theories of Adorno, Horkheimer and others.",1,1,6,1,2
78469,嵐がこなければもっとはやく着いていただろう。,11848304,"If it hadn't been for the storm, we would've arrived sooner.",0,1,0,0,1
188851,駅までの道を教えて下さい。,25998,Could you please tell me how to get to the station?,1,3,0,0,0
191169,以前は私の家のまわりに大きな木々があったものだ。,28329,There used to be big trees around my house.,3,3,0,0,0
176990,君は彼に感謝すべきだ。,2758078,You should thank him.,0,0,3,0,1
200999,どこであれ道路を横切る時に右左を見るというのはいいことだ。,38204,It's a good rule to look both ways before you cross the street anywhere.,4,2,2,0,0
182014,京子は親切にも私のために荷物を運んでくれた。,19333,Kyoko had the kindness to carry my baggage for me.,1,6,0,1,0
114079,彼はかろうじて成功した。,289593,He just barely succeeded.,0,0,2,0,1
85006,夫の死後ずっと彼女は一人暮らしだ。,318707,She has lived alone ever since her husband died.,4,1,3,0,0
84874,父が快く車を貸してくれるとは思わない。,318840,I don't think my father is willing to lend us the car.,2,2,0,1,0
8576611,この辺で、オオカミを見たことがありますか？,6064990,Have you seen wolves around here?,1,0,0,1,0
9679075,トムがね、週末の感謝祭のために戻ってきたんだ。,7523953,Tom came home for the Thanksgiving weekend.,0,1,3,1,1
207777,その聴衆の人数はどれくらいだと思いますか。,45031,How large is the audience?,1,1,1,0,2
9960453,昨日から兄の具合が悪いんです。,251524,My brother has been sick since yesterday.,1,2,3,0,0
85083,不思議な巡り合わせで私達はばったり再会した。,318630,We happened to meet again through a strange coincidence.,0,4,3,1,1
90094,彼女は高価な首飾りをしています。,313620,She is wearing an expensive necklace.,2,0,2,0,2
161406,私はいつも６時に起きる。,253111,I always get up at six.,1,2,0,0,0
113930,彼はクラスのみんなから頼りにされている。,289743,He is relied on by everyone in the class.,0,0,2,0,0
78853,用心に傘を持っていった方がいい。,324863,You had better take your umbrella in case.,0,4,0,0,1
189507,嘘ばっかりついてるから、皆に総すかんを食うんだ。自業自得だよ。,26659,You're always lying- that's why people don't take you seriously. You get what you deserve.,1,3,2,1,0
9478637,私は毎日１時間、運動をしています。,7785634,I exercise for an hour every day.,4,3,0,0,0
2355836,君にはがっかりだよ。,1090381,I'm disappointed in you.,0,0,1,0,0
125357,泥棒は何の跡も残さずに逃げた。,278636,The thief fled without leaving any traces.,1,0,2,3,0
187329,何年か前、彼女は暴走族の連中と付き合っていた。,24466,"Years ago, she used to hang around with a bunch of bikers.",5,2,4,1,0
3266698,あなたのためにしました。,1790777,I did it for you.,0,0,0,0,0
10880137,二つだけだったよ。,8737514,There were only two.,1,0,0,0,0
94244,彼女の神への信仰はとても堅い。,309461,Her belief in God is very firm.,1,0,3,0,2
10212512,このテレビ、大きいし高いよ。,9741263,This TV is big and expensive.,2,0,0,0,0
10234045,「１０月」は１年の中で１０回目の月にあたります。,10234027,October is the tenth month of the year.,4,1,1,0,0
147487,所有者の側には異存はなかった。,267073,There was no objection on the part of the owner.,0,2,3,0,1
212248,その映画は前にみた覚えがある。,49530,I remember seeing the movie before.,1,2,1,0,0
121538,背中を蹴られた。,282467,I was kicked in the back.,1,0,1,0,0
1471169,クラシックよりもジャズを好んで聞きます。,1556996,I listen to and prefer jazz over classical.,1,0,1,0,0
81421,妹から便りがあった。手紙によれば目下元気だそうだ。,322294,I heard from my sister. The letter says she is well now.,2,5,1,0,0
145888,食べ物を口に入れたまましゃべるのはよくありません。,268674,It is not good to talk with your mouth full.,2,2,0,0,0
168003,私がそこに出向く必要がありますか。,246492,Do I need to go there?,1,1,3,0,0
2733813,トムはその日暮らしの生活をしている。,1024551,Tom lives from hand to mouth.,2,0,2,0,0
202783,ちょっと見ただけでは善人と悪人の区別はつかない。,40018,We cannot tell a good person from a bad one by looks alone.,3,2,0,1,1
114506,彼はいつも人にやつあたりをします。,289165,He really has it out for people.,1,0,1,0,0
8579904,禁煙すべきだ。,495668,You should quit smoking.,0,0,1,1,0
203320,たまたまきのう駅で彼女に会った。,40557,It happened that I met her at the station yesterday.,1,2,1,0,0
9969751,着いたらすぐ連絡するね。,277438,I'll get in touch with you as soon as I arrive.,0,1,1,1,0
141628,先生は私が東大に入る可能性について非常に率直だった。,272942,The teacher was quite candid about my chances of entering Tokyo University.,5,1,6,0,1
185731,我々は正午に東京駅に着くだろう。,22863,We will get to Tokyo Station at noon.,2,4,0,0,1
9392399,毎日、日は昇る。,9392385,The sun rises every day.,3,0,0,1,0
157425,私は君の行いについて弁明を聞きたい。,257108,I shall want an explanation of your behavior.,2,2,1,0,1
105251,彼は次第に頭角をあらわしてきた。,298438,He is gradually coming to the front.,0,0,3,1,1
169659,昨夜はナイターを見て楽しみましたか。,244826,Did you enjoy watching the night game last night?,1,2,1,0,0
10280609,フランス語なんか大っ嫌いよ。,2451690,I hate French.,2,0,0,0,1
113259,彼はそう言ったとたんに後悔した。,290415,No sooner had he said it than he was sorry.,1,1,1,0,1
201145,どうやって実行にうつそう。,38351,How can we put it into practice?,1,0,1,0,0
3589994,その携帯いつから使ってるの？,6561686,When did you start using that cellphone?,0,1,0,1,1
76985,「述部」とは、動作を表す部分で、最後が「～だ」「～する」などになる部分です。,326734,"The ""predicate"" is that part that shows the action in the sentence. In Japanese it would be the part that ends in ""da"", ""suru"", etc.",3,2,5,1,0
105775,彼は私の申し出をきっぱり断った。,297912,He rejected my offer flatly.,1,1,3,0,0
9943255,恐らく、ただの食中りだよ。,4013701,It's probably just food poisoning.,2,0,1,0,0
10159828,金庫はどこ？,10158661,Where's the safe?,1,0,0,1,0
4561871,私の経験によると、フランス語の文法を身に付けるのには1年かかります。,4703116,"In my experience, it takes one year to learn French grammar.",2,3,4,0,0
218274,これは主婦の手間を省く便利な器具です。,55586,This is a great time-saving gadget for the housewife.,1,2,4,1,1
774653,何を食べ、どんな生活を送るのか、決めるのは自分自身だ。,1008025,"What you eat, or what kind of life you live, are decided by you alone.",4,3,3,0,0
8522338,トムをからかった。,5825531,I teased Tom.,0,0,0,0,0
146531,少年は池のコイの群れをじっと見つめていた。,268031,The boy was gazing at a school of carp in the pond.,2,1,0,2,0
8691631,娘は私と一緒に住んでいます。,8624994,My daughter lives with me.,1,2,2,0,0
11365420,こう暑くちゃぁ、散歩どころじゃない。,3071640,It's too hot to go for a walk.,0,1,1,0,1
109726,彼は英語で自分の考えを上手に表現した。,293964,He expressed himself very well in English.,3,4,3,0,0
152934,私は物質的な利益に関心がない。,261611,I'm not interested in material gains.,0,5,2,0,1
10172722,私たちが負けたって知ってるでしょ。,10136195,You know that we lost.,0,2,1,0,0
76710,コンサートをドロンするなよ。,327010,Don't sneak out of the concert!,0,0,0,0,0
138009,体の向きを変えてくれれば、ファスナーを閉めてあげよう。,275226,"If you turn around, I'll fasten your dress for you.",0,1,3,0,0
5630908,世界の飢餓問題の解決は私の仕事ではない。,6619932,Solving the problem of world hunger isn't my job.,0,7,2,0,2
9479912,それってありきたりな話だな。,42763,It's just another story.,1,0,0,0,0
2584204,私がこれを終わらせる限り、これがいつ終わるかが本当に問題か？,2582099,Do you really care when I get this done as long as I get it done?,1,5,2,0,0
172113,今度はあなたが歌う番です。,70788,It's your turn to sing.,1,2,1,0,0
161829,私はあなたが今着ているのと同じジャケットが欲しい。,10276681,I want the same jacket as you're wearing.,1,3,1,0,0
95722,彼女があんなに夜遅く帰宅したとは不思議だ。,307983,It's strange that she should have come home so late at night.,1,4,4,0,0
140746,全部食べないとデザート抜きですよ。,273827,You can't have dessert until you finish your meal.,1,0,3,0,0
168205,支配人は戸口に立った。,246289,The manager stood at the door.,1,2,2,1,0
191333,安らかで幸せなクリスマスを。,28495,Wishing you peace and happiness at Christmas.,0,1,1,0,0
208776,その人とは学生の頃に一度会った事がある。,46035,I met him once when I was a student.,4,3,0,0,0
10587341,赤ちゃんのあんよって、ぷにょぷにょしてて気持ちいいよね。,11232989,"The baby's tootsies feel nice and soft, don't they?",1,2,0,0,0
7562224,だんだん荷が重くなってきた。,10568355,The burden is gradually getting heavier.,0,1,0,1,0
9681779,子猫はいつ猫になるの？,9681750,When does a kitten become a cat?,1,0,2,0,0
92901,彼女はここへ必ず来なければならない。,310808,She is bound to come here.,2,0,2,0,0
75407,いいのよ。それより、早く行かないとタイムセール終わっちゃう。,328312,"Never mind that. More importantly, if we don't go soon the time-limited sales will finish.",1,2,0,0,0
229265,イギリスから来ました。,66622,I come from England.,1,0,0,0,0
207661,その店ではくつと衣料が売られている。,44914,They deal in shoes and clothes at that store.,0,3,0,1,0
4744295,エスペラント運動は常に永遠の初心者の問題を抱えています。,4764884,The Esperanto movement has always had to grapple with the problem of 'eternal beginners'.,0,6,4,1,0
140804,全市民が出てきて彼を歓迎した。,273768,The whole population turned out in welcome.,1,0,5,0,1
10528323,このクラスはもう満員です。,10528131,This class is already full.,0,1,1,0,0
179713,金もなし、仕事もなし、友達もなし。彼は、本当に途方に暮れた。,18572,"No money, no job, no friends. He was truly at loose ends.",3,3,5,0,0
205353,それはりんごに似ています。,42596,It looks like an apple.,0,0,1,0,0
8614115,トムは良いキャプテンだ。,7736437,Tom is a good captain.,0,0,1,0,0
103988,彼は上役に１日中働かされた。,299704,He was made to work all day by the boss.,3,0,3,0,0
3484384,身長ってどうやったら伸びるんだろう。,11180971,I wonder how I can get myself taller.,1,0,1,1,0
156927,私は今晩、ピザを食べたい。,257607,I feel like having some pizza tonight.,2,1,1,0,0
203394,たばこを吸うのをやめなさい。,40632,Stop smoking.,0,0,1,0,0
104728,彼は実に如才ない男だ。,298960,He certainly is smart.,1,0,3,0,1
119418,彼が勇敢であることには感心せずにはおれなかった。,284245,I could not but admire his courage.,0,1,2,1,1
157463,私は君にそこに行ってもらいたい。,257069,I'd like you to go there.,1,1,1,0,0
202758,ちょっと失礼します。,3393231,Excuse me a moment.,0,0,2,0,0
8573864,あれはトムの寝室？,2891439,Is that Tom's bedroom?,0,1,1,0,0
146586,少年はコンピューターゲームで遊ぶのに夢中だった。,267976,The boy was absorbed in playing a computer game.,2,1,2,0,0
2238110,彼は決して手抜きをしない人だ。,294911,He is a person who never cuts corners.,1,1,3,0,0
120328,彼が賛成してもしなくてもかまわない。,283681,It doesn't matter whether he agrees or not.,0,0,3,0,0
118253,彼のふるまいは世間の称賛を浴びた。,285411,His behavior won general applause.,1,1,2,1,1
9848208,蝶々は卵を産むんだよ。,7480293,Butterflies lay eggs.,0,0,1,1,1
121086,彼がいったいどこに向かっているのか、私には分からなかった。,282922,I couldn't figure out where on earth he was heading for.,1,1,2,0,0
152234,私は腕時計を修理してもらわなければならない。,7646905,I have to get my watch repaired.,1,3,0,1,1
203368,たびたびそこに行った事がある。,40605,I have been there scores of times.,1,1,0,0,0
194704,メアリーは母親に良く似ている。,31877,Mary really takes after her mother.,1,1,2,0,0
9697219,タバコの副流煙で喉が痛いです。,11389095,My throat is sore from the secondhand smoke.,0,0,3,1,0
81856,僕は終電にすれすれのところで間に合った。,63072,I was just in time for the last train.,2,1,1,0,1
103817,彼は新しい計画なら何にでも飛びつく。,299875,He engages himself in every new project.,1,3,2,0,0
212192,その煙突は真っ黒い煙を噴出している。,49471,The chimney is belching black smoke.,1,2,3,0,1
120930,彼がそのことを知らないとは驚きだ。,283013,It is surprising that he should not know this.,0,1,1,0,1
177360,急いだほうがいいよ。,16210,You'd better hurry up.,0,1,0,0,0
226339,かつてトマトは有毒だと信じられていたことがあった。,63680,It was once believed that tomatoes were poisonous.,0,1,1,1,0
9859124,ここで待ってもいいですか？,9206581,Do you mind if I wait here?,0,1,0,0,0
222775,この歌は私に古き良き時代を思い出させる。,60105,This song reminds me of the good old days.,2,5,1,0,0
228916,いったいどこでそれを買ったのか。,66275,Where ever did you buy it?,0,1,0,0,0
8428840,また後日、連絡します。,10206660,I will contact you again in the future.,2,0,1,1,0
224934,コーヒーください。,1907148,"Coffee, please.",0,0,0,0,0
98329,彼らは、全く疲れきっていた。,305373,They were very tired indeed.,0,0,3,0,0
5955968,とんでもない！,2175,No way!,0,0,0,0,0
160540,私はすぐに新しい学校に溶け込んだ。,253981,I quickly adapted myself to my new school.,2,2,1,1,0
5373563,この問題について誰かに話をしましたか？,6586828,Have you talked to anyone about this problem?,1,2,0,0,0
104753,彼は失敗の償いをした。,298937,He made amends for his mistakes.,0,0,3,0,1
149080,車に乗せて下さいませんか。,265479,Could you give me a lift in your car?,2,0,1,0,0
223511,このテキストは易しい英語で書かれている。,60846,This textbook is written in simple English.,2,1,1,0,0
4265205,フランス語はできますか？,16428,Can you speak French?,1,0,0,0,0
195565,まず第一に私達は彼を辞めさせなければならない。,32738,"First of all, we must dismiss him.",1,1,3,0,1
1884019,私が何をしても、誰も私のことを気にしなかった。,246630,"No matter what I did, no one paid any attention to me.",2,2,0,0,0
11339946,疑問があるならトムに聞いてちょうだい。,5784154,Ask Tom if you have any doubts.,1,1,1,0,0
432838,将来、私は歯医者になりたい。,432837,I wish to become a dentist in the future.,1,3,1,1,0
161512,私はアメリカの料理が大好きです。,253004,I'm a big fan of American cooking.,1,3,1,0,0
2260045,トムの書く文章はとても訳しにくい。,2595672,Tom's sentences are really hard to translate.,1,1,0,1,1
92375,彼女はその知らせに当惑した。,311336,She was dismayed at the news.,1,1,2,0,1
2533626,トムは乗る電車を間違えた。,1141091,Tom took the wrong train.,3,0,2,0,0
9943068,明日、駅でお会いしましょう。,9699033,I'll meet you at the station tomorrow.,1,3,0,0,0
182170,巨大な肉の塊が当たった。,19394,I was hit by a huge chunk of meat.,1,1,1,1,1
80126,木の下に何人かの少年がいます。,323590,There are some boys under the tree.,5,1,0,0,0
231838,あなたは上司とうまくやっていけていますか。,69205,Do you get along with your boss?,1,0,0,0,1
2511663,彼女は声をおののかせて「助けて！」と叫んだ。,2511665,"In a quivering voice she cried ""Help!""",1,0,3,1,0
2659140,トムはもう食べた。,1830417,Tom has already eaten.,1,0,0,0,0
8672364,トムは旅行中です。,8584658,Tom is on a trip.,2,1,0,0,0
3875289,宿題をするのを忘れないで。,3823753,Don't forget to do your homework.,0,1,2,0,0
10906804,これらは完全に機能する。,5737823,These are fully functional.,0,0,4,0,0
92705,彼女はずっと質問ばかりしていた。,311004,She kept on asking me questions the whole time.,1,2,1,0,0
10679869,サイズはこれで全部ですか？,54164,Are these all the sizes you have?,0,0,2,0,0
156018,私は十年見ていない。,258518,I hadn't seen for ten years.,3,1,0,0,0
10336676,彼の論文、無茶苦茶だよ。,9741444,His thesis is absurd.,0,3,3,1,0
199515,どんなに速く走っても間に合わないだろうね。,36717,"However fast you run, you won't be in time.",1,1,2,0,0
993535,これ小さすぎるよ。,267535,It's too small.,1,0,0,0,0
2216639,お前、随分偉そうだな。,1895570,You're so bossy.,2,0,1,0,1
173817,好きでした事ですから。,240653,The pleasure is mine.,0,1,1,0,0
102750,彼は息子たち一人一人にお金をやった。,300944,He gave money to each of his sons.,6,0,2,0,0
10666322,トムはメアリーが欲しかった。,2011319,Tom wanted Mary.,0,0,1,0,0
101936,彼は天井を見上げた。,301757,He looked up at the ceiling.,3,0,1,0,1
